Country;Currency;Code;Number
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE);Kip;LAK;418
LATVIA;Euro;EUR;978
LEBANON;Lebanese Pound;LBP;422
LESOTHO;Loti;LSL;426
LESOTHO;Rand;ZAR;710
LIBERIA;Liberian Dollar;LRD;430
LIBYA;Libyan Dinar;LYD;434
LIECHTENSTEIN;Swiss Franc;CHF;756
LITHUANIA;Euro;EUR;978
LUXEMBOURG;Euro;EUR;978
MACAO;Pataca;MOP;446
MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF);Denar;MKD;807
MADAGASCAR;Malagasy Ariary;MGA;969
MALAWI;Kwacha;MWK;454
MALAYSIA;Malaysian Ringgit;MYR;458
MALDIVES;Rufiyaa;MVR;462
MALI;CFA Franc BCEAO;XOF;952
MALTA;Euro;EUR;978
MARSHALL ISLANDS (THE);US Dollar;USD;840
MARTINIQUE;Euro;EUR;978
MAURITANIA;Ouguiya;MRU;929
MAURITIUS;Mauritius Rupee;MUR;480
MAYOTTE;Euro;EUR;978
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP;ADB Unit of Account;XUA;965
MEXICO;Mexican Peso;MXN;484
MEXICO;Mexican Unidad de Inversion (UDI);MXV;979
MICRONESIA (FEDERATED STATES OF);US Dollar;USD;840
MOLDOVA (THE REPUBLIC OF);Moldovan Leu;MDL;498
MONACO;Euro;EUR;978
MONGOLIA;Tugrik;MNT;496
MONTENEGRO;Euro;EUR;978
MONTSERRAT;East Caribbean Dollar;XCD;951
MOROCCO;Moroccan Dirham;MAD;504
MOZAMBIQUE;Mozambique Metical;MZN;943
MYANMAR;Kyat;MMK;104
NAMIBIA;Namibia Dollar;NAD;516
NAMIBIA;Rand;ZAR;710
NAURU;Australian Dollar;AUD;036
NEPAL;Nepalese Rupee;NPR;524
NETHERLANDS (THE);Euro;EUR;978
NEW CALEDONIA;CFP Franc;XPF;953
NEW ZEALAND;New Zealand Dollar;NZD;554
NICARAGUA;Cordoba Oro;NIO;558
NIGER (THE);CFA Franc BCEAO;XOF;952
NIGERIA;Naira;NGN;566
NIUE;New Zealand Dollar;NZD;554
NORFOLK ISLAND;Australian Dollar;AUD;036
NORTHERN MARIANA ISLANDS (THE);US Dollar;USD;840
NORWAY;Norwegian Krone;NOK;578
OMAN;Rial Omani;OMR;512
PAKISTAN;Pakistan Rupee;PKR;586
PALAU;US Dollar;USD;840
PALESTINE, STATE OF;No universal currency;	
PANAMA;Balboa;PAB;590
PANAMA;US Dollar;USD;840
PAPUA NEW GUINEA;Kina;PGK;598
PARAGUAY;Guarani;PYG;600
PERU;Nuevo Sol;PEN;604
PHILIPPINES (THE);Philippine Peso;PHP;608
PITCAIRN;New Zealand Dollar;NZD;554
POLAND;Zloty;PLN;985
PORTUGAL;Euro;EUR;978
PUERTO RICO;US Dollar;USD;840
QATAR;Qatari Rial;QAR;634
ROMANIA;Romanian Leu;RON;946
RUSSIAN FEDERATION (THE);Russian Ruble;RUB;643
RWANDA;Rwanda Franc;RWF;646
RÉUNION;Euro;EUR;978
SAINT BARTHÉLEMY;Euro;EUR;978
SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA;Saint Helena Pound;SHP;654
SAINT KITTS AND NEVIS;East Caribbean Dollar;XCD;951
SAINT LUCIA;East Caribbean Dollar;XCD;951
SAINT MARTIN (FRENCH PART);Euro;EUR;978
SAINT PIERRE AND MIQUELON;Euro;EUR;978
SAINT VINCENT AND THE GRENADINES;East Caribbean Dollar;XCD;951
SAMOA;Tala;WST;882
SAN MARINO;Euro;EUR;978
SAO TOME AND PRINCIPE;Dobra;STN;930
SAUDI ARABIA;Saudi Riyal;SAR;682
SENEGAL;CFA Franc BCEAO;XOF;952
SERBIA;Serbian Dinar;RSD;941
SEYCHELLES;Seychelles Rupee;SCR;690
SIERRA LEONE;Leone;SLL;694
SINGAPORE;Singapore Dollar;SGD;702
SINT MAARTEN (DUTCH PART);Netherlands Antillean Guilder;ANG;532
SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS "SUCRE";Sucre;XSU;994
SLOVAKIA;Euro;EUR;978
SLOVENIA;Euro;EUR;978
SOLOMON ISLANDS;Solomon Islands Dollar;SBD;090
SOMALIA;Somali Shilling;SOS;706
SOUTH AFRICA;Rand;ZAR;710
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;No universal currency;	
SOUTH SUDAN;South Sudanese Pound;SSP;728
SPAIN;Euro;EUR;978
SRI LANKA;Sri Lanka Rupee;LKR;144
SUDAN (THE);Sudanese Pound;SDG;938
SURINAME;Surinam Dollar;SRD;968
SVALBARD AND JAN MAYEN;Norwegian Krone;NOK;578
SWAZILAND;Lilangeni;SZL;748
SWEDEN;Swedish Krona;SEK;752
SWITZERLAND;WIR Euro;CHE;947
SWITZERLAND;Swiss Franc;CHF;756
SWITZERLAND;WIR Franc;CHW;948
SYRIAN ARAB REPUBLIC;Syrian Pound;SYP;760
TAIWAN (PROVINCE OF CHINA);New Taiwan Dollar;TWD;901
TAJIKISTAN;Somoni;TJS;972
TANZANIA, UNITED REPUBLIC OF;Tanzanian Shilling;TZS;834
THAILAND;Baht;THB;764
TIMOR-LESTE;US Dollar;USD;840
TOGO;CFA Franc BCEAO;XOF;952
TOKELAU;New Zealand Dollar;NZD;554
TONGA;Pa’anga;TOP;776
TRINIDAD AND TOBAGO;Trinidad and Tobago Dollar;TTD;780
TUNISIA;Tunisian Dinar;TND;788
TURKEY;Turkish Lira;TRY;949
TURKMENISTAN;Turkmenistan New Manat;TMT;934
TURKS AND CAICOS ISLANDS (THE);US Dollar;USD;840
TUVALU;Australian Dollar;AUD;036
UGANDA;Uganda Shilling;UGX;800
UKRAINE;Hryvnia;UAH;980
UNITED ARAB EMIRATES (THE);UAE Dirham;AED;784
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE);Pound Sterling;GBP;826
UNITED STATES MINOR OUTLYING ISLANDS (THE);US Dollar;USD;840
UNITED STATES OF AMERICA (THE);US Dollar;USD;840
UNITED STATES OF AMERICA (THE);US Dollar (Next day);USN;997
URUGUAY;Uruguay Peso en Unidades Indexadas (URUIURUI);UYI;940
URUGUAY;Peso Uruguayo;UYU;858
UZBEKISTAN;Uzbekistan Sum;UZS;860
VANUATU;Vatu;VUV;548
VENEZUELA (BOLIVARIAN REPUBLIC OF);Bolivar;VEF;937
VIET NAM;Dong;VND;704
VIRGIN ISLANDS (BRITISH);US Dollar;USD;840
VIRGIN ISLANDS (U.S.);US Dollar;USD;840
WALLIS AND FUTUNA;CFP Franc;XPF;953
WESTERN SAHARA;Moroccan Dirham;MAD;504
YEMEN;Yemeni Rial;YER;886
ZAMBIA;Zambian Kwacha;ZMW;967
ZIMBABWE;Zimbabwe Dollar;ZWL;932
ÅLAND ISLANDS;Euro;EUR;978
